approach,split,n,exact_match,bleu4,meteor,bertscore_p,bertscore_r,bertscore_f1
deep,overall,2238,0.0008936550491510277,26.536706584200424,0.38618294117732455,0.756773054599762,0.739020586013794,0.7468015551567078
deep,Shapes_Data,744,0.0,17.881754272605594,0.37561957378867433,0.7333127856254578,0.7309306263923645,0.731261134147644
deep,Numbers_Data,744,0.0,15.895891613381362,0.26622208179903395,0.7144610285758972,0.6810486912727356,0.6956514120101929
deep,TicTacToe_Data,750,0.0026666666666666666,37.57147504008805,0.5156629741301298,0.8220192193984985,0.8045538663864136,0.8129587173461914
resnet,overall,2238,0.00044682752457551384,28.14159494926405,0.4153236048982263,0.7752424478530884,0.7493376135826111,0.7609268426895142
resnet,Shapes_Data,744,0.0,25.59442770776257,0.44184188158044696,0.779194176197052,0.7605303525924683,0.7686322927474976
resnet,Numbers_Data,744,0.0013440860215053765,18.758902112443312,0.3055071664051797,0.7268885970115662,0.688498854637146,0.7053455710411072
resnet,TicTacToe_Data,750,0.0,36.24161860942583,0.49795538141456547,0.8192893266677856,0.7985862493515015,0.8084195256233215
resnet_bert,overall,2238,0.0,26.336011436380698,0.4401754249594801,0.7570961117744446,0.771131157875061,0.763075590133667
resnet_bert,Shapes_Data,744,0.0,21.790472730787194,0.43085703038504697,0.7402511835098267,0.7600084543228149,0.7489586472511292
resnet_bert,Numbers_Data,744,0.0,19.43645477294968,0.351083030633452,0.718182384967804,0.7504368424415588,0.7326269745826721
resnet_bert,TicTacToe_Data,750,0.0,35.63342981615181,0.5377989275487376,0.8124085068702698,0.802693784236908,0.8072848916053772
shallow,overall,2238,0.0,24.831345426680194,0.3829245947126201,0.7484777569770813,0.7257698178291321,0.735752284526825
shallow,Shapes_Data,744,0.0,17.462560059689743,0.37160818142990415,0.7361261248588562,0.7344909310340881,0.7339460849761963
shallow,Numbers_Data,744,0.0,16.542550573965585,0.2792019221040618,0.6946398615837097,0.6808152198791504,0.6860941052436829
shallow,TicTacToe_Data,750,0.0,35.26395886265518,0.49704336791676396,0.814137876033783,0.7617135643959045,0.7868050932884216
